Item,Description,Notes,Quantity,Unit Price,Total Price,Link,Link 2
Fiber Fill 5kg ,Washable Fiber Fill to act as Clouds,It might be cheaper in Offline stores,1,"₹1,948.00","₹1,948.00",https://amzn.in/d/gjnAlTd,https://amzn.in/d/8eZsvYN
VHB Tape,Tape for sticking the RGB Strip,,2,₹244.00,₹488.00,https://amzn.in/d/3nYR098,
VHB Tape,Tape for sticking to the ,,2,₹190.00,₹380.00,https://amzn.in/d/hXkeGOK,
Foam Sheet (pack of 5),Cuz i dont want to damage my ceiling,It might be cheaper in Offline stores,4,₹949.00,"₹3,796.00",https://amzn.in/d/99BR6ga,
Extension Board,220V Extension Board,,1,₹399.00,₹399.00,https://amzn.in/d/3HO8cgm,
Zip Ties,,"Cuz, Cable Management is Important!!!",1,₹255.00,₹255.00,https://amzn.in/d/ay1Efmf,
3 Pin Plug,3 Pin Plug for AC IN,I will probably buy it myself from local shops,2,₹78.00,₹156.00,https://amzn.in/d/fqETxWS,
AC Wire,,,1,₹684.00,₹684.00,https://amzn.in/d/eL3r7pl,
5m RGB Lights,WS2812B Pixel Strip,Idk bout WSPixels if it works its cheap.,4,₹900.00,"₹3,600.00",https://wspixel.com/product/5/ws2812b-non-waterproof-60-pixel1m-addressable-pixel-strip-for-arduino-5-meter-strips,
Power Supply,5V 70A,why 2 ? idk i dont want to mess with power issues,2,₹990.00,"₹1,980.00",https://wspixel.com/product/148/pixel-led-power-supply-5v-70a-350-w-110-220v-rain-proof,
Prototype Board,6x8cm,,2,₹28.00,₹56.00,https://robu.in/product/6-x-8-cm-universal-pcb-prototype-board-single-sided-2-54mm-hole-pitch/,
Breadboard,830 Points,,1,₹54.00,₹54.00,https://robu.in/product/mb102-830-points-solderless-prototype-pcb-breadboard-high-quality/,
40pc Male to Female,Jumper Wire,,1,₹38.00,₹38.00,https://robu.in/product/male-to-female-jumper-wires-40pcs-20cm/,
40pc Male to Male,Jumper Wire,,1,₹41.00,₹41.00,https://robu.in/product/male-to-male-jumper-wires-40pcs-20cm/,
ESP32-WROOM-32,Microcontroller,,1,₹339.00,₹339.00,https://robu.in/product/esp32-38pin-development-board-wifibluetooth-ultra-low-power-consumption-dual-core/,
INMP441 Microphone,Microphone,,1,₹175.00,₹175.00,https://robu.in/product/inmp441-mems-high-precision-omnidirectional-microphone-module-i2s/,
Logic Level Shifter,Logic Level shifter,,1,₹39.00,₹39.00,https://robu.in/product/smartelex-logic-level-converter-bi-directional/,https://robu.in/product/level-converter-4-channel/
1000uF Capacitor,Capacitor for LED starts,,6,₹20.00,₹120.00,https://robu.in/product/uhe1e102mhd6cv-nichicon-1000uf-%C2%B120-plugind12-5xl20mm-aluminum-electrolytic-capacitors-leaded-rohs/,
330 Ohm Resistor,Resistor for LED Signal Start,,6,₹0.98,₹5.88,https://robu.in/product/330-ohm-0-5w-metal-film-resistor-pack-of-50/,
Red Wire,18AWG For Power Injection,1 Qty = 1 Meter,20,₹23.00,₹460.00,https://robu.in/product/18awg-solid-core-insulated-wire-pvc-red/,
Black Wire,18AWG For Power,1 Qty = 1 Meter,20,₹23.00,₹460.00,https://robu.in/product/18awg-solid-core-insulated-wire-pvc-black/,
Yellow Wire,22AWG For Data,1 Qty = 1 Meter,10,₹10.00,₹100.00,https://robu.in/product/1000-meter-ul1007-22awg-pvc-electronic-wire-yellow/,
Fuse Holder,Fuse Holder,,4,₹15.00,₹60.00,https://robu.in/product/fuse-holder-bf-013a/,
Fuse,,"Cuz, I dont want to burn my house lol",6,₹10.00,₹60.00,https://robu.in/product/0297900-wxt-littlefuse-blade-fuse-20a-automotive-fuses-rohs/,
Insulating Tape,,,1,₹19.00,₹19.00,https://robu.in/product/insulating-tape-red%ef%bc%89/,
Wire Sleeve,,1 Qty = 1 Meter,6,₹64.00,₹384.00,https://robu.in/product/nylon-8mm-expandable-braided-sleeve-for-wire-protection-1m-length/,
Hot Glue Sticks 11mm,"Hot Glue Sticks, Cheapest one i found","1 Qty = 36pcs, I dont know if i want 72 Glue sticks, but its better to be safe than sorry.",2,₹290.00,₹580.00,https://amzn.in/d/1V6vr5v,
,,,,,,,
TOTAL,,,,,"₹16,676.88",,
TOTAL IN USD,Used 0.0115 x INR = USD,,,,$191.78,,